item_id,category,part_number_or_file,description,quantity,material_or_spec,readiness,notes
P01,printed_part,ZEROTH01_ROUND_V1_CHEST_FRONT,胸部前壳,1,PETG nominal,PRINT_MESH_PASS,非承力外观件
P02,printed_part,ZEROTH01_ROUND_V1_CHEST_BACK,胸部后壳,1,PETG nominal,PRINT_MESH_PASS,非承力外观件
P03,printed_part,ZEROTH01_ROUND_V1_HEAD_FRONT,头部前壳,1,PETG nominal,PRINT_MESH_PASS,非承力外观件
P04,printed_part,ZEROTH01_ROUND_V1_HEAD_BACK,头部后壳,1,PETG nominal,PRINT_MESH_PASS,非承力外观件
P05,printed_part,ZEROTH01_ROUND_V1_PELVIS_FRONT,骨盆前壳,1,PETG nominal,PRINT_MESH_PASS,非承力外观件
P06,printed_part,ZEROTH01_ROUND_V1_PELVIS_BACK,骨盆后壳,1,PETG nominal,PRINT_MESH_PASS,非承力外观件
P07,printed_part,ZEROTH01_ROUND_V1_MUZZLE_BADGE,口鼻徽章,1,PETG nominal,PRINT_MESH_PASS,可粘接或二次固定
P08,printed_part,ZEROTH01_ROUND_V1_VISOR_BADGE,深色面罩徽章,1,PETG nominal,PRINT_MESH_PASS,可粘接或二次固定
P09,printed_part,ZEROTH01_ROUND_V1_LEFT_SOLE,左 8 mm 加厚鞋底,1,PETG fit prototype,PRINT_MESH_PASS,步行前必须做拉脱与冲击测试
P10,printed_part,ZEROTH01_ROUND_V1_RIGHT_SOLE,右 8 mm 加厚鞋底,1,PETG fit prototype,PRINT_MESH_PASS,步行前必须做拉脱与冲击测试
P11,print_coupon,ZEROTH01_ROUND_V1_JOINT_RING,关节环/孔径收缩试片,1,PETG nominal,OPTIONAL_COUPON,不计入 URDF 安装质量
A01,actuator,FEETECH STS3250,串行总线舵机,16,12 V / 74.5 g nominal,CAD_AND_METADATA_PRESENT,ID/零位/方向/回差仍需实测
F01,fastener,M3x16 candidate,前后壳分缝螺栓,12,steel,CANDIDATE_FIT_CHECK,长度需在实物壳体试装后冻结
F02,fastener,M3 lock nut candidate,前后壳分缝锁紧螺母,12,steel,CANDIDATE_FIT_CHECK,可替换为经验证热熔螺母方案
F03,fastener,M3 washer candidate,壳体分缝垫片,24,steel,CANDIDATE_FIT_CHECK,按表面压陷试验调整
F04,retention,12 mm hook-and-loop strap,鞋底可逆绑带,4,nylon,CANDIDATE_PULL_TEST,长度现场裁切；每只鞋底两条
F05,adhesive,removable trim tape candidate,面罩/口鼻徽章可逆固定,1 set,automotive trim tape,CANDIDATE_MATERIAL_TEST,不得污染未来可更换外壳接口
M01,missing_load_path,servo_horn_and_output_fasteners,舵盘/花键/输出端紧固件,16 sets,TBD,BLOCKED_SOURCE_OR_MEASUREMENT,公开聚合 STL 不能确定
M02,missing_load_path,opposite_side_bearings_and_shafts,关节反侧轴承与轴,16 sets,TBD,BLOCKED_SOURCE_OR_MEASUREMENT,步行承力必须补齐
M03,missing_harness,cable_clips_and_strain_relief,线束夹与应力释放,1 set,TBD,BLOCKED_ROUTING_TEST,需在全关节扫掠和实物线束后冻结
