category,item,manufacturer_model,qty_final,qty_first_order,status,mechanical_or_electrical_requirement,official_link,purchase_link,notes
ACTUATOR,TTL bus servo,FEETECH STS3250-C001,16,2,WALKING_BASELINE_RUNNING_HOLD,"12 V; 50 kg·cm stall; 45.22x24.72x35 mm body family; 25T OD5.9; double shaft; verify exact rear M2 and PCD14 drawing",https://www.feetechrc.com/en/562636.html,https://www.alibaba.com/product-detail/Own-Brand-Feetech-Servo-12V-50KG_1601316856304.html,"Buy 2 for torque-speed-current-temperature and fit tests; buy remaining 14 only after pass. Current running policy exceeds speed envelope."
VISION_AUDIO,AI camera with microphone,M5Stack UnitV2 GC2145,1,1,SELECTED,"48x18.5x24 mm; 5 V 500 mA; removable head cradle",https://shop.m5stack.com/products/unitv2-ai-camera-gc2145,https://shop.m5stack.com/products/unitv2-ai-camera-gc2145,"Includes camera and microphone; confirm included 32 GB card/cable with seller."
COMPUTE,onboard Linux compute,Raspberry Pi Zero 2 W,1,1,SELECTED,"65x30 mm; 5 V supply; fits 70x12x32 mm tray envelope after connector check",https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/,https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/,"512 MB is for low-level deployment/telemetry, not local MJX training."
SERVO_IO,TTL bus interface,Waveshare Bus Servo Adapter (A) SKU 25514,1,1,SELECTED,"9-12.6 V; UART/USB-C; 42x33 mm; sufficient external power injection required",https://docs.waveshare.com/Bus_Servo_Adapter_A,https://www.waveshare.com/product/modules/motors-servos/bus-servo-adapter-a.htm,"Use for signal/control; do not assume its small PCB carries every 16-servo transient without fused branch injection."
IMU,9-axis fused IMU,Adafruit BNO085 PID 4754,1,1,SELECTED,"25.6x22.7x4.6 mm; rigid torso shelf; calibrated transform",https://www.adafruit.com/product/4754,https://www.adafruit.com/product/4754,"Add one STEMMA QT/Qwiic cable; fix board rigidly, no foam."
POWER_LOGIC,5 V regulator,Pololu D24V50F5 item 2851,1,1,SELECTED_EQUIVALENT_ALLOWED,"6-38 V input; 5 V 5 A; >=15 W thermally continuous in installed airflow",https://www.pololu.com/product/2851/specs,https://www.pololu.com/product/2851,"Official stock can be limited; exact equivalent allowed only after size, ripple, transient and thermal validation."
BATTERY,3S LiPo with XT30,Power-Xtra PX850XT3S 11.1 V 850 mAh 80C,2,1,SELECTED_DIMENSION_CONTROLLED,"69.5x32.5x20.9 mm; must remain <=75x22x34 mm when oriented; XT30; 3S balance lead",https://www.power-xtra.com/en/products?page=9,https://www.promodelhobby.com/urun/power-xtra-11-1v-850-mah-80c-li-polymer-pil,"Buy 1 for first article and 1 spare after fit. Verify dimensions and connector before payment; never charge in robot."
CHARGER,balance/storage charger,SkyRC B6neo SK-100198,1,1,SELECTED,"1-6S LiPo; balance and storage modes; requires suitable PD/DC input and XT60-to-XT30 charge lead",https://www.skyrc.com/Charger/b6neo?order=DESC&sort=p.model,https://www.skyrc.com/Charger/b6neo?order=DESC&sort=p.model,"Use a LiPo-safe bag/box and supervised charging area."
STORAGE,microSD high endurance,64 GB UHS-I high-endurance,1,1,SELECTED,"Raspberry Pi OS and logs",https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/,https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/,"UnitV2 listing normally includes its own 32 GB card; verify package."
MATERIAL,structural filament,Bambu PA6-CF 1 kg,1,1,SELECTED,"0.6 mm hardened nozzle; dry; 5 walls; 45% gyroid",https://bambulab.cn/zh-cn/filament-guide,https://bambulab.cn/zh-cn/filament-guide,"Black structural baseline; paint white only after first-article acceptance."
