release_name,quantity,role,part_class,material,nozzle_mm,nozzle,layer_mm,walls,top_bottom_layers,infill_percent,infill_pattern,support,bbox_mm,solid_volume_mm3,solid_material_upper_bound_g_each,assembly_frame_step,print_oriented_step,stl,three_mf
01_head_front_5mm_each_side,1,printable_head_front_shell,COSMETIC,PETG-HF white,0.4,standard or hardened steel,0.2,4,5,25,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[90.75, 70.409, 15.5]",18986.944,24.113,manufacturing/v5_bambu_first_article_release/step/assembly_frame/01_head_front_5mm_each_side.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/01_head_front_5mm_each_side.step,manufacturing/v5_bambu_first_article_release/stl/01_head_front_5mm_each_side.stl,manufacturing/v5_bambu_first_article_release/3mf/01_head_front_5mm_each_side.3mf
02_head_rear_5mm_each_side,1,printable_head_rear_shell,COSMETIC,PETG-HF white,0.4,standard or hardened steel,0.2,4,5,25,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[90.75, 70.409, 15.5]",19177.362,24.355,manufacturing/v5_bambu_first_article_release/step/assembly_frame/02_head_rear_5mm_each_side.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/02_head_rear_5mm_each_side.step,manufacturing/v5_bambu_first_article_release/stl/02_head_rear_5mm_each_side.stl,manufacturing/v5_bambu_first_article_release/3mf/02_head_rear_5mm_each_side.3mf
03_head_simple_visor,1,simple_camera_microphone_visor,COSMETIC,PETG-HF black,0.4,standard or hardened steel,0.2,4,5,25,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[76.0, 51.0, 2.0]",7340.01,9.322,manufacturing/v5_bambu_first_article_release/step/assembly_frame/03_head_simple_visor.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/03_head_simple_visor.step,manufacturing/v5_bambu_first_article_release/stl/03_head_simple_visor.stl,manufacturing/v5_bambu_first_article_release/3mf/03_head_simple_visor.3mf
04_battery_service_cage,1,removable_internal_service_mount,SERVICE,PETG-HF,0.4,standard or hardened steel,0.2,4,5,30,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[79.0, 38.0, 26.0]",14428.902,18.325,manufacturing/v5_bambu_first_article_release/step/assembly_frame/04_battery_service_cage.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/04_battery_service_cage.step,manufacturing/v5_bambu_first_article_release/stl/04_battery_service_cage.stl,manufacturing/v5_bambu_first_article_release/3mf/04_battery_service_cage.3mf
05_compute_removable_tray,1,removable_internal_service_mount,SERVICE,PETG-HF,0.4,standard or hardened steel,0.2,4,5,30,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[76.0, 36.0, 15.0]",6963.455,8.844,manufacturing/v5_bambu_first_article_release/step/assembly_frame/05_compute_removable_tray.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/05_compute_removable_tray.step,manufacturing/v5_bambu_first_article_release/stl/05_compute_removable_tray.stl,manufacturing/v5_bambu_first_article_release/3mf/05_compute_removable_tray.3mf
06_harness_strain_relief_guides,1,harness_strain_relief,SERVICE,PETG-HF,0.4,standard or hardened steel,0.2,4,5,30,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[38.0, 100.0, 6.0]",1183.036,1.502,manufacturing/v5_bambu_first_article_release/step/assembly_frame/06_harness_strain_relief_guides.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/06_harness_strain_relief_guides.step,manufacturing/v5_bambu_first_article_release/stl/06_harness_strain_relief_guides.stl,manufacturing/v5_bambu_first_article_release/3mf/06_harness_strain_relief_guides.3mf
07_torso_imu_shelf,1,removable_internal_service_mount,SERVICE,PETG-HF,0.4,standard or hardened steel,0.2,4,5,30,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[38.0, 31.0, 2.0]",2317.68,2.943,manufacturing/v5_bambu_first_article_release/step/assembly_frame/07_torso_imu_shelf.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/07_torso_imu_shelf.step,manufacturing/v5_bambu_first_article_release/stl/07_torso_imu_shelf.stl,manufacturing/v5_bambu_first_article_release/3mf/07_torso_imu_shelf.3mf
08_unitv2_removable_cradle,1,removable_internal_service_mount,SERVICE,PETG-HF,0.4,standard or hardened steel,0.2,4,5,30,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[54.0, 29.0, 20.75]",8697.35,11.046,manufacturing/v5_bambu_first_article_release/step/assembly_frame/08_unitv2_removable_cradle.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/08_unitv2_removable_cradle.step,manufacturing/v5_bambu_first_article_release/stl/08_unitv2_removable_cradle.stl,manufacturing/v5_bambu_first_article_release/3mf/08_unitv2_removable_cradle.3mf
09_3215_1flange_2_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[100.015, 35.04, 35.04]",12143.351,14.329,manufacturing/v5_bambu_first_article_release/step/assembly_frame/09_3215_1flange_2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/09_3215_1flange_2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/09_3215_1flange_2_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/09_3215_1flange_2_sts3250_clearanced.3mf
10_3215_1flange_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[100.015, 35.04, 35.04]",12146.438,14.333,manufacturing/v5_bambu_first_article_release/step/assembly_frame/10_3215_1flange_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/10_3215_1flange_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/10_3215_1flange_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/10_3215_1flange_sts3250_clearanced.3mf
11_3215_bothflange_10_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[104.437, 40.64, 36.849]",11771.631,13.891,manufacturing/v5_bambu_first_article_release/step/assembly_frame/11_3215_bothflange_10_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/11_3215_bothflange_10_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/11_3215_bothflange_10_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/11_3215_bothflange_10_sts3250_clearanced.3mf
12_3215_bothflange_13_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[85.432, 34.84, 32.76]",6007.195,7.088,manufacturing/v5_bambu_first_article_release/step/assembly_frame/12_3215_bothflange_13_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/12_3215_bothflange_13_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/12_3215_bothflange_13_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/12_3215_bothflange_13_sts3250_clearanced.3mf
13_3215_bothflange_14_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[85.432, 35.04, 32.76]",6057.681,7.148,manufacturing/v5_bambu_first_article_release/step/assembly_frame/13_3215_bothflange_14_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/13_3215_bothflange_14_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/13_3215_bothflange_14_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/13_3215_bothflange_14_sts3250_clearanced.3mf
14_3215_bothflange_5_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[44.026, 54.803, 35.04]",3358.631,3.963,manufacturing/v5_bambu_first_article_release/step/assembly_frame/14_3215_bothflange_5_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/14_3215_bothflange_5_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/14_3215_bothflange_5_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/14_3215_bothflange_5_sts3250_clearanced.3mf
15_3215_bothflange_6_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[44.026, 54.803, 35.04]",3220.337,3.8,manufacturing/v5_bambu_first_article_release/step/assembly_frame/15_3215_bothflange_6_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/15_3215_bothflange_6_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/15_3215_bothflange_6_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/15_3215_bothflange_6_sts3250_clearanced.3mf
16_3215_bothflange_9_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[104.437, 40.64, 36.849]",11943.905,14.094,manufacturing/v5_bambu_first_article_release/step/assembly_frame/16_3215_bothflange_9_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/16_3215_bothflange_9_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/16_3215_bothflange_9_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/16_3215_bothflange_9_sts3250_clearanced.3mf
17_direct_head_torso_nut_plate,1,direct_head_torso_mount,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[60.0, 22.0, 2.0]",2521.904,2.976,manufacturing/v5_bambu_first_article_release/step/assembly_frame/17_direct_head_torso_nut_plate.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/17_direct_head_torso_nut_plate.step,manufacturing/v5_bambu_first_article_release/stl/17_direct_head_torso_nut_plate.stl,manufacturing/v5_bambu_first_article_release/3mf/17_direct_head_torso_nut_plate.3mf
18_foot_2_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[89.95, 45.568, 40.44]",34798.007,41.062,manufacturing/v5_bambu_first_article_release/step/assembly_frame/18_foot_2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/18_foot_2_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/18_foot_2_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/18_foot_2_sts3250_clearanced.3mf
19_foot_sts3250_clearanced,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[89.95, 45.568, 40.44]",34798.008,41.062,manufacturing/v5_bambu_first_article_release/step/assembly_frame/19_foot_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/19_foot_sts3250_clearanced.step,manufacturing/v5_bambu_first_article_release/stl/19_foot_sts3250_clearanced.stl,manufacturing/v5_bambu_first_article_release/3mf/19_foot_sts3250_clearanced.3mf
20_l_arm_mirror_1_sts3250_wrist_mount,1,source_load_bearing_carrier,STRUCTURAL,PA6-CF,0.6,hardened steel,0.2,5,6,45,gyroid,paint only where overhang exceeds 50 deg; keep servo pockets and bearing faces support-free,"[40.12, 83.498, 39.537]",24258.52,28.625,manufacturing/v5_bambu_first_article_release/step/assembly_frame/20_l_arm_mirror_1_sts3250_wrist_mount.step,manufacturing/v5_bambu_first_article_release/step/print_oriented/20_l_arm_mirror_1_sts3250_wrist_mount.step,manufacturing/v5_bambu_first_article_release/stl/20_l_arm_mirror_1_sts3250_wrist_mount.stl,manufacturing/v5_bambu_first_article_release/3mf/20_l_arm_mirror_1_sts3250_wrist_mount.3mf
